EEID,First Name,Last Name,Gender,Age,Job Title,Department,Business Unit,Ethnicity,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02862,Peyton,Huang,Female,25,Sr. Manger,IT,Manufacturing,Asian,02/07/2021,"$125,633 ",11% ,China,Beijing,
E04207,John,Contreras,Male,35,Analyst II,Marketing,Manufacturing,Latino,15/05/2011,"$66,889 ",0% ,United States,Columbus,
E02139,Rylee,Yu,Female,36,Director,Accounting,Research & Development,Asian,29/09/2015,"$178,700 ",29% ,United States,Seattle,
E01797,Piper,Lewis,Female,33,Field Engineer,Engineering,Research & Development,Caucasian,22/12/2018,"$83,990 ",0% ,United States,Chicago,
E01839,Stella,Alexander,Female,52,Automation Engineer,Engineering,Corporate,Caucasian,10/12/2005,"$102,043 ",0% ,United States,Chicago,
E01633,Addison,Do,Female,46,Operations Engineer,Engineering,Manufacturing,Asian,30/05/2001,"$90,678 ",0% ,United States,Columbus,
E01848,Zoey,Jackson,Female,46,Business Partner,Human Resources,Manufacturing,Black,21/08/2008,"$59,067 ",0% ,United States,Miami,
E00716,John,Chow,Male,45,Sr. Manger,Marketing,Research & Development,Asian,11/03/2021,"$135,062 ",15% ,China,Chengdu,
E00699,Ava,Ayala,Female,55,Sr. Manger,IT,Corporate,Latino,16/08/2006,"$159,044 ",10% ,Brazil,Manaus,
E00502,Natalia,Salazar,Female,44,Sr. Analyst,Accounting,Manufacturing,Latino,02/01/2019,"$74,691 ",0% ,Brazil,Manaus,08/07/2020
E04000,Skylar,Carrillo,Female,44,Engineering Manager,Engineering,Corporate,Latino,18/12/2008,"$92,753 ",13% ,United States,Austin,24/06/2021
E02112,Christian,Sanders,Male,45,Vice President,Human Resources,Speciality Products,Black,07/08/2013,"$236,946 ",37% ,United States,Seattle,
E03824,Penelope,Coleman,Female,36,Analyst,Finance,Corporate,Black,27/08/2021,"$48,906 ",0% ,United States,Miami,
E03906,Piper,Richardson,Female,38,Sr. Analyst,Sales,Corporate,Caucasian,27/01/2008,"$80,024 ",0% ,United States,Columbus,
E00436,Everly,Walker,Female,41,HRIS Analyst,Human Resources,Speciality Products,Caucasian,23/10/2009,"$54,415 ",0% ,United States,Seattle,22/01/2014
E04798,Aurora,Ali,Female,30,Manager,Marketing,Research & Development,Asian,24/04/2016,"$120,341 ",7% ,United States,Seattle,
E01249,Penelope,Guerrero,Female,43,Vice President,IT,Speciality Products,Latino,04/08/2009,"$208,415 ",35% ,United States,Seattle,
E03349,Anna,Mehta,Female,32,Cloud Infrastructure Architect,IT,Speciality Products,Asian,05/01/2020,"$78,844 ",0% ,United States,Seattle,
E02966,William,Foster,Male,58,Field Engineer,Engineering,Manufacturing,Caucasian,23/05/2002,"$76,354 ",0% ,United States,Phoenix,26/09/2021
E01499,Jade,Rojas,Female,37,Director,Finance,Speciality Products,Latino,28/01/2019,"$165,927 ",20% ,United States,Phoenix,
E00105,Isla,Espinoza,Female,38,Manager,Accounting,Speciality Products,Latino,16/11/2021,"$109,812 ",9% ,Brazil,Manaus,
E00665,David,Chu,Male,55,Controls Engineer,Engineering,Corporate,Asian,03/09/1998,"$86,299 ",0% ,United States,Seattle,
E00791,Thomas,Padilla,Male,57,Vice President,Marketing,Research & Development,Latino,26/07/2003,"$206,624 ",40% ,Brazil,Sao Paulo,
E01540,Miles,Salazar,Male,36,IT Coordinator,IT,Manufacturing,Latino,23/12/2010,"$53,215 ",0% ,Brazil,Sao Paulo,27/03/2014
E04474,Mila,Hong,Female,30,Test Engineer,Engineering,Research & Development,Asian,22/05/2017,"$86,858 ",0% ,China,Chongqing,08/10/2017
E03417,Benjamin,Moua,Male,40,Computer Systems Manager,IT,Manufacturing,Asian,02/07/2007,"$93,971 ",8% ,China,Chongqing,
E00254,Samuel,Morales,Male,34,Analyst II,Finance,Corporate,Latino,27/06/2015,"$57,008 ",0% ,United States,Phoenix,
E02166,John,Soto,Male,60,Sr. Manger,Finance,Manufacturing,Latino,23/09/2015,"$141,899 ",15% ,United States,Phoenix,
E00935,Joseph,Martin,Male,41,Analyst II,Marketing,Corporate,Black,13/09/2016,"$64,847 ",0% ,United States,Miami,
E01525,Jose,Ross,Male,53,Engineering Manager,Engineering,Research & Development,Caucasian,08/04/1992,"$116,878 ",11% ,United States,Miami,
E00386,Parker,James,Male,45,Quality Engineer,Engineering,Speciality Products,Black,05/02/2005,"$70,505 ",0% ,United States,Austin,
E00416,Everleigh,Fernandez,Female,30,Director,Engineering,Research & Development,Latino,22/05/2016,"$189,702 ",28% ,Brazil,Manaus,21/12/2020
E03383,Lincoln,Hall,Male,26,Director,Accounting,Speciality Products,Caucasian,28/07/2020,"$180,664 ",27% ,United States,Chicago,
E01516,Willow,Mai,Female,45,Business Partner,Human Resources,Manufacturing,Asian,17/12/2003,"$48,345 ",0% ,China,Chengdu,
E01234,Jack,Cheng,Male,42,Director,Human Resources,Manufacturing,Asian,16/01/2014,"$152,214 ",30% ,China,Beijing,
E03440,Genesis,Navarro,Female,41,Cloud Infrastructure Architect,IT,Corporate,Latino,28/04/2009,"$69,803 ",0% ,Brazil,Manaus,
E00431,Eliza,Hernandez,Female,48,Network Architect,IT,Corporate,Latino,04/07/2019,"$76,588 ",0% ,Brazil,Rio de Janerio,
E01258,Gabriel,Brooks,Male,29,Network Engineer,IT,Manufacturing,Caucasian,10/12/2018,"$84,596 ",0% ,United States,Miami,
E00440,Jack,Huynh,Male,27,Manager,Marketing,Research & Development,Asian,25/09/2018,"$114,441 ",10% ,China,Chongqing,22/12/2019
E00595,Everly,Chow,Female,33,Sr. Manger,Finance,Speciality Products,Asian,21/04/2018,"$140,402 ",15% ,China,Beijing,
E00972,Amelia,Salazar,Female,26,Analyst II,Finance,Corporate,Latino,23/04/2019,"$59,817 ",0% ,Brazil,Sao Paulo,
E04562,Xavier,Zheng,Male,31,Account Representative,Sales,Manufacturing,Asian,22/07/2017,"$55,854 ",0% ,United States,Austin,
E02802,Matthew,Chau,Male,53,Sr. Business Partner,Human Resources,Research & Development,Asian,16/11/2002,"$95,998 ",0% ,United States,Seattle,
E01427,Mia,Cheng,Female,34,Sr. Manger,Sales,Manufacturing,Asian,22/04/2015,"$154,941 ",13% ,United States,Phoenix,
E04568,Rylee,Yu,Female,54,Vice President,Finance,Speciality Products,Asian,10/07/2011,"$247,022 ",30% ,China,Beijing,
E04931,Zoe,Romero,Female,32,Network Architect,IT,Manufacturing,Latino,05/10/2021,"$88,072 ",0% ,Brazil,Sao Paulo,
E00443,Nolan,Bui,Male,28,Computer Systems Manager,IT,Research & Development,Asian,26/05/2020,"$67,925 ",8% ,China,Shanghai,
E03890,Nevaeh,Jones,Female,31,Vice President,Sales,Manufacturing,Caucasian,20/08/2020,"$219,693 ",30% ,United States,Austin,
E01194,Samantha,Adams,Female,45,Test Engineer,Engineering,Research & Development,Caucasian,22/04/2013,"$61,773 ",0% ,United States,Seattle,
E02875,Madeline,Shin,Female,48,Computer Systems Manager,IT,Speciality Products,Asian,09/01/2007,"$74,546 ",9% ,United States,Seattle,
E04959,Noah,King,Male,56,Development Engineer,Engineering,Speciality Products,Black,27/01/2015,"$62,575 ",0% ,United States,Miami,
E03816,Leilani,Chow,Female,27,Director,Human Resources,Corporate,Asian,23/02/2021,"$199,041 ",16% ,China,Beijing,
E01261,Connor,Simmons,Male,55,Analyst II,Accounting,Speciality Products,Caucasian,05/04/2007,"$52,310 ",0% ,United States,Miami,12/10/2018
E03612,Grayson,Cooper,Male,64,Sr. Manger,Finance,Speciality Products,Black,29/06/2013,"$159,571 ",10% ,United States,Columbus,
E01388,Ivy,Soto,Female,50,Field Engineer,Engineering,Research & Development,Latino,23/10/1997,"$91,763 ",0% ,United States,Austin,
E03875,Aurora,Simmons,Female,51,Development Engineer,Engineering,Corporate,Caucasian,22/12/1995,"$96,475 ",0% ,United States,Austin,
E04413,Andrew,Thomas,Male,36,Controls Engineer,Engineering,Manufacturing,Caucasian,02/12/2016,"$113,781 ",0% ,United States,Columbus,
E00691,Ezekiel,Desai,Male,42,Director,Finance,Research & Development,Asian,15/01/2003,"$166,599 ",26% ,United States,Seattle,
E03047,Gabriella,Gupta,Female,41,Sr. Account Representative,Sales,Corporate,Asian,15/02/2005,"$95,372 ",0% ,China,Shanghai,
E04903,Skylar,Liu,Female,29,Director,IT,Research & Development,Asian,09/08/2020,"$161,203 ",15% ,China,Chengdu,
E04735,Nova,Coleman,Female,44,System Administrator ,IT,Manufacturing,Caucasian,13/12/2006,"$74,738 ",0% ,United States,Miami,
E02850,Evelyn,Dinh,Female,41,Director,Sales,Research & Development,Asian,10/08/2018,"$171,173 ",21% ,United States,Columbus,
E03583,Brooks,Marquez,Male,61,Vice President,Sales,Corporate,Latino,24/09/2019,"$201,464 ",37% ,United States,Chicago,
E02017,Connor,Joseph,Male,50,Director,Human Resources,Corporate,Caucasian,22/07/1998,"$174,895 ",15% ,United States,Chicago,
E01642,Mia,Lam,Female,49,Sr. Manger,IT,Manufacturing,Asian,18/04/2006,"$134,486 ",14% ,United States,Austin,
E04379,Scarlett,Rodriguez,Female,60,Sr. Analyst,Finance,Manufacturing,Latino,24/02/2007,"$71,699 ",0% ,Brazil,Manaus,
E04131,Cora,Rivera,Female,42,Sr. Analyst,Marketing,Corporate,Latino,02/01/2021,"$94,430 ",0% ,United States,Seattle,
E02872,Liam,Jung,Male,39,Manager,Finance,Corporate,Asian,14/01/2010,"$103,504 ",7% ,China,Chengdu,
E02331,Sophia,Huynh,Female,55,Enterprise Architect,IT,Manufacturing,Asian,09/08/2005,"$92,771 ",0% ,United States,Miami,
E00417,Athena,Carrillo,Female,39,Analyst II,Finance,Speciality Products,Latino,06/04/2006,"$71,531 ",0% ,United States,Columbus,
E04267,Greyson,Sanders,Male,28,Cloud Infrastructure Architect,IT,Speciality Products,Black,06/03/2019,"$90,304 ",0% ,United States,Chicago,
E03061,Vivian,Lewis,Female,65,Manager,Marketing,Manufacturing,Caucasian,07/09/2011,"$104,903 ",10% ,United States,Columbus,
E00013,Elena,Vang,Female,52,Analyst,Finance,Corporate,Asian,19/02/2019,"$55,859 ",0% ,China,Beijing,
E04265,Natalia,Diaz,Female,62,Operations Engineer,Engineering,Corporate,Latino,12/10/2006,"$79,785 ",0% ,United States,Austin,
E04769,Mila,Leung,Female,39,Sr. Analyst,Marketing,Corporate,Asian,05/11/2007,"$99,017 ",0% ,China,Beijing,
E03042,Ava,Nelson,Female,63,Systems Analyst,IT,Manufacturing,Caucasian,01/04/1992,"$53,809 ",0% ,United States,Phoenix,
E00527,Mateo,Chu,Male,27,Field Engineer,Engineering,Speciality Products,Asian,16/04/2020,"$71,864 ",0% ,China,Chengdu,
E01095,Isla,Lai,Female,37,Vice President,Finance,Corporate,Asian,06/12/2011,"$225,558 ",33% ,China,Shanghai,
E03131,Ezekiel,Reed,Male,37,Sr. Manger,IT,Manufacturing,Caucasian,25/02/2014,"$128,984 ",12% ,United States,Miami,01/05/2021
E01713,Nolan,Guzman,Male,46,Field Engineer,Engineering,Speciality Products,Latino,20/06/1999,"$96,997 ",0% ,Brazil,Sao Paulo,
E00128,Everleigh,Espinoza,Female,54,Director,Human Resources,Manufacturing,Latino,22/01/2018,"$176,294 ",28% ,United States,Austin,
E03849,Evelyn,Jung,Female,30,Analyst,Sales,Research & Development,Asian,14/02/2021,"$48,340 ",0% ,China,Beijing,
E02464,Sophie,Silva,Female,28,Vice President,Engineering,Corporate,Latino,06/07/2017,"$240,488 ",40% ,Brazil,Rio de Janerio,
E00306,Mateo,Williams,Male,40,Enterprise Architect,IT,Manufacturing,Caucasian,22/01/2011,"$97,339 ",0% ,United States,Austin,
E03737,Kennedy,Rahman,Female,49,Vice President,Human Resources,Manufacturing,Asian,28/02/2003,"$211,291 ",37% ,China,Chongqing,
E02783,Levi,Mendez,Male,39,Vice President,Sales,Research & Development,Latino,23/08/2011,"$249,506 ",30% ,Brazil,Rio de Janerio,
E02939,Julian,Fong,Male,61,Quality Engineer,Engineering,Speciality Products,Asian,22/11/2002,"$80,950 ",0% ,China,Chongqing,
E02706,Nevaeh,Kang,Female,46,Automation Engineer,Engineering,Research & Development,Asian,10/01/2021,"$86,538 ",0% ,China,Chengdu,
E00170,Hannah,Nelson,Female,35,Sr. Analyst,Marketing,Speciality Products,Caucasian,07/09/2019,"$70,992 ",0% ,United States,Austin,
E01425,Anthony,Rogers,Male,33,Vice President,Engineering,Corporate,Caucasian,18/06/2015,"$205,314 ",30% ,United States,Columbus,
E00130,Paisley,Kang,Female,61,Vice President,Human Resources,Corporate,Asian,10/03/2017,"$196,951 ",33% ,China,Beijing,
E02094,Matthew,Gupta,Male,45,Network Engineer,IT,Speciality Products,Asian,18/09/2005,"$67,686 ",0% ,China,Beijing,
E03567,Silas,Chavez,Male,51,Technical Architect,IT,Research & Development,Latino,15/04/2008,"$86,431 ",0% ,United States,Columbus,
E04682,Colton,Thao,Male,55,Manager,Human Resources,Manufacturing,Asian,16/11/1995,"$125,936 ",8% ,China,Chongqing,
E00957,Genesis,Perry,Female,46,Sr. Manger,Sales,Corporate,Caucasian,18/07/2013,"$149,712 ",14% ,United States,Columbus,
E04458,Alexander,Bryant,Male,30,Field Engineer,Engineering,Speciality Products,Caucasian,02/10/2021,"$88,758 ",0% ,United States,Seattle,
E01499,Elias,Zhang,Male,54,Solutions Architect,IT,Research & Development,Asian,13/07/2013,"$83,639 ",0% ,China,Beijing,
E00521,Lily,Carter,Female,54,Network Architect,IT,Research & Development,Caucasian,18/05/1998,"$68,268 ",0% ,United States,Phoenix,
E03717,Joseph,Ruiz,Male,45,Field Engineer,Engineering,Manufacturing,Latino,26/02/2002,"$75,819 ",0% ,Brazil,Sao Paulo,
E01533,Avery,Bailey,Female,49,Sr. Analyst,Sales,Speciality Products,Caucasian,15/05/1996,"$86,658 ",0% ,United States,Phoenix,
E04449,Miles,Hsu,Male,55,Analyst II,Finance,Research & Development,Asian,16/03/2014,"$74,552 ",0% ,China,Chengdu,
E02855,Piper,Cheng,Female,62,Enterprise Architect,IT,Manufacturing,Asian,15/03/2009,"$82,839 ",0% ,United States,Miami,
E00816,Skylar,Watson,Female,28,Network Architect,IT,Speciality Products,Caucasian,08/10/2021,"$64,475 ",0% ,United States,Phoenix,
E02283,Jaxon,Park,Male,33,Network Architect,IT,Manufacturing,Asian,24/07/2020,"$69,453 ",0% ,China,Chengdu,
E04888,Elijah,Henry,Male,32,Manager,IT,Corporate,Caucasian,03/01/2014,"$127,148 ",10% ,United States,Miami,
E03907,Camila,Watson,Female,32,Vice President,Finance,Speciality Products,Caucasian,02/01/2018,"$190,253 ",33% ,United States,Austin,
E02166,Lucas,Thomas,Male,55,Manager,Accounting,Research & Development,Caucasian,28/04/2000,"$115,798 ",5% ,United States,Miami,
E00431,Skylar,Doan,Female,58,Sr. Business Partner,Human Resources,Research & Development,Asian,21/08/1994,"$93,102 ",0% ,United States,Seattle,13/12/2013
E01501,Hudson,Liu,Male,34,Engineering Manager,Engineering,Speciality Products,Asian,16/11/2017,"$110,054 ",15% ,United States,Miami,
E01141,Gianna,Williams,Female,27,Quality Engineer,Engineering,Research & Development,Black,28/01/2021,"$95,786 ",0% ,United States,Chicago,
E02254,Jaxson,Sandoval,Male,61,Sr. Analyst,Sales,Speciality Products,Latino,03/05/2017,"$90,855 ",0% ,Brazil,Sao Paulo,
E04504,Jameson,Alvarado,Male,47,Enterprise Architect,IT,Manufacturing,Latino,14/03/1999,"$92,897 ",0% ,Brazil,Sao Paulo,
E03394,Joseph,Ly,Male,40,Vice President,Marketing,Speciality Products,Asian,28/02/2009,"$242,919 ",31% ,China,Chongqing,
E02942,Daniel,Richardson,Male,30,Director,Engineering,Speciality Products,Caucasian,20/05/2018,"$184,368 ",29% ,United States,Austin,
E04130,Elias,Figueroa,Male,45,Sr. Manger,Finance,Corporate,Latino,24/12/2021,"$144,754 ",15% ,United States,Phoenix,
E02848,Emma,Brooks,Female,30,Sr. Account Representative,Sales,Research & Development,Caucasian,18/12/2016,"$89,458 ",0% ,United States,Austin,
E00085,Isla,Wong,Female,56,Vice President,Accounting,Corporate,Asian,16/03/2014,"$190,815 ",40% ,United States,Austin,
E03956,Everly,Walker,Female,62,Sr. Manger,Sales,Research & Development,Caucasian,02/08/1999,"$137,995 ",14% ,United States,Austin,
E00672,Mila,Pena,Female,45,Sr. Business Partner,Human Resources,Manufacturing,Latino,21/12/2007,"$93,840 ",0% ,Brazil,Manaus,
E04618,Mason,Zhao,Male,46,Technical Architect,IT,Research & Development,Asian,26/10/2021,"$94,790 ",0% ,China,Chongqing,
E03506,Jaxson,Mai,Male,48,Vice President,Human Resources,Research & Development,Asian,08/03/2014,"$197,367 ",39% ,United States,Austin,
E00568,Ava,Garza,Female,27,Director,Accounting,Manufacturing,Latino,25/06/2018,"$174,097 ",21% ,United States,Phoenix,
E00535,Nathan,Mendez,Male,53,Manager,IT,Speciality Products,Latino,31/10/2006,"$120,128 ",10% ,United States,Austin,
E04630,Maria,Griffin,Female,59,Manager,Marketing,Manufacturing,Caucasian,25/04/2007,"$129,708 ",5% ,United States,Miami,
E00874,Alexander,Choi,Male,55,Manager,Marketing,Research & Development,Asian,18/09/1994,"$102,270 ",10% ,United States,Chicago,
E01546,Maria,Hong,Female,43,Vice President,Finance,Speciality Products,Asian,31/07/2005,"$249,686 ",31% ,China,Chongqing,
E00941,Sophie,Ali,Female,55,Analyst,Finance,Manufacturing,Asian,28/03/2002,"$50,475 ",0% ,United States,Columbus,
E03446,Julian,Ross,Male,51,Manager,Marketing,Research & Development,Caucasian,02/07/2020,"$100,099 ",8% ,United States,Miami,
E01361,Emma,Hill,Female,54,IT Coordinator,IT,Manufacturing,Caucasian,27/12/2016,"$41,673 ",0% ,United States,Miami,
E01631,Leilani,Yee,Female,47,Sr. Analyst,Marketing,Speciality Products,Asian,12/07/2017,"$70,996 ",0% ,China,Chengdu,
E03719,Jack,Brown,Male,55,Analyst,Marketing,Corporate,Caucasian,07/12/2004,"$40,752 ",0% ,United States,Phoenix,
E03269,Charlotte,Chu,Female,50,Network Engineer,IT,Manufacturing,Asian,23/01/2001,"$97,537 ",0% ,China,Chengdu,
E01037,Jeremiah,Chu,Male,31,IT Systems Architect,IT,Research & Development,Asian,12/09/2020,"$96,567 ",0% ,China,Shanghai,
E00671,Miles,Cho,Male,47,Systems Analyst,IT,Speciality Products,Asian,10/03/1999,"$49,404 ",0% ,China,Beijing,
E02216,Caleb,Marquez,Male,29,IT Systems Architect,IT,Research & Development,Latino,15/10/2019,"$66,819 ",0% ,Brazil,Rio de Janerio,
E02803,Eli,Soto,Male,38,Analyst,Marketing,Speciality Products,Latino,02/05/2016,"$50,784 ",0% ,Brazil,Rio de Janerio,
E01584,Carter,Mejia,Male,29,Sr. Manger,Human Resources,Research & Development,Latino,09/05/2019,"$125,828 ",15% ,Brazil,Sao Paulo,
E02489,Ethan,Clark,Male,33,Sr. Business Partner,Human Resources,Manufacturing,Caucasian,04/08/2017,"$92,610 ",0% ,United States,Columbus,
E03189,Asher,Jackson,Male,50,Sr. Manger,Sales,Speciality Products,Caucasian,25/03/2003,"$123,405 ",13% ,United States,Columbus,
E03560,Ayla,Ng,Female,46,Account Representative,Sales,Manufacturing,Asian,20/03/2004,"$73,004 ",0% ,China,Beijing,
E00769,Jose,Kang,Male,57,Engineering Manager,Engineering,Corporate,Asian,25/04/1999,"$95,061 ",10% ,China,Shanghai,
E02791,Aubrey,Romero,Female,49,Director,Sales,Corporate,Latino,02/04/1998,"$160,832 ",30% ,United States,Phoenix,
E02333,Jaxson,Wright,Male,54,Service Desk Analyst,IT,Manufacturing,Black,28/12/2010,"$64,417 ",0% ,United States,Columbus,
E01002,Elias,Ali,Male,28,Manager,Sales,Corporate,Asian,19/03/2021,"$127,543 ",6% ,China,Shanghai,
E03520,Nolan,Pena,Male,30,Analyst,Marketing,Manufacturing,Latino,21/06/2018,"$56,154 ",0% ,Brazil,Sao Paulo,
E00752,Luna,Liu,Female,36,Vice President,Sales,Manufacturing,Asian,22/02/2014,"$218,530 ",30% ,China,Shanghai,
E00233,Brooklyn,Reyes,Female,36,Service Desk Analyst,IT,Manufacturing,Latino,19/12/2019,"$91,954 ",0% ,United States,Columbus,
E02639,Hadley,Parker,Female,30,Vice President,Marketing,Corporate,Black,21/09/2016,"$221,217 ",32% ,United States,Columbus,25/09/2017
E00697,Jonathan,Chavez,Male,29,System Administrator ,IT,Manufacturing,Latino,11/05/2017,"$87,536 ",0% ,United States,Seattle,
